11/15/2022,Brooklyn Nets,Sacramento Kings
11/15/2022,New York Knicks,Utah Jazz
11/16/2022,Indiana Pacers,Charlotte Hornets
11/16/2022,Minnesota Timberwolves,Orlando Magic
11/16/2022,Oklahoma City Thunder,Washington Wizards
11/16/2022,Boston Celtics,Atlanta Hawks
11/16/2022,Miami Heat,Toronto Raptors
11/16/2022,Cleveland Cavaliers,Milwaukee Bucks
11/16/2022,Chicago Bulls,New Orleans Pelicans
11/16/2022,Houston Rockets,Dallas Mavericks
11/16/2022,New York Knicks,Denver Nuggets
11/16/2022,Golden State Warriors,Phoenix Suns
11/17/2022,Brooklyn Nets,Portland Trail Blazers
11/17/2022,San Antonio Spurs,Sacramento Kings
11/17/2022,Detroit Pistons,Los Angeles Clippers
11/18/2022,Miami Heat,Washington Wizards
11/18/2022,Charlotte Hornets,Cleveland Cavaliers
11/18/2022,Milwaukee Bucks,Philadelphia 76ers
11/18/2022,Orlando Magic,Chicago Bulls
11/18/2022,Indiana Pacers,Houston Rockets
11/18/2022,Oklahoma City Thunder,Memphis Grizzlies
11/18/2022,Denver Nuggets,Dallas Mavericks
11/18/2022,Boston Celtics,New Orleans Pelicans
11/18/2022,Phoenix Suns,Utah Jazz
11/18/2022,New York Knicks,Golden State Warriors
11/18/2022,Detroit Pistons,Los Angeles Lakers
11/19/2022,Toronto Raptors,Atlanta Hawks
11/19/2022,Orlando Magic,Indiana Pacers
11/19/2022,Minnesota Timberwolves,Philadelphia 76ers
11/19/2022,Utah Jazz,Portland Trail Blazers
11/19/2022,San Antonio Spurs,Los Angeles Clippers
11/20/2022,New York Knicks,Phoenix Suns
11/20/2022,Detroit Pistons,Sacramento Kings
11/20/2022,Charlotte Hornets,Washington Wizards
11/20/2022,Memphis Grizzlies,Brooklyn Nets
11/20/2022,Miami Heat,Cleveland Cavaliers
11/20/2022,Golden State Warriors,Houston Rockets
11/20/2022,Denver Nuggets,Dallas Mavericks
11/20/2022,San Antonio Spurs,Los Angeles Lakers
11/21/2022,Atlanta Hawks,Cleveland Cavaliers
11/21/2022,Orlando Magic,Indiana Pacers
11/21/2022,Boston Celtics,Chicago Bulls
11/21/2022,Portland Trail Blazers,Milwaukee Bucks
11/21/2022,Miami Heat,Minnesota Timberwolves
11/21/2022,Golden State Warriors,New Orleans Pelicans
11/21/2022,New York Knicks,Oklahoma City Thunder
11/21/2022,Utah Jazz,Los Angeles Clippers
11/22/2022,Brooklyn Nets,Philadelphia 76ers
11/22/2022,Sacramento Kings,Memphis Grizzlies
11/22/2022,Detroit Pistons,Denver Nuggets
11/22/2022,Los Angeles Lakers,Phoenix Suns
11/23/2022,Philadelphia 76ers,Charlotte Hornets
11/23/2022,Portland Trail Blazers,Cleveland Cavaliers
11/23/2022,Minnesota Timberwolves,Indiana Pacers
11/23/2022,Sacramento Kings,Atlanta Hawks
11/23/2022,Dallas Mavericks,Boston Celtics
11/23/2022,Washington Wizards,Miami Heat
11/23/2022,Brooklyn Nets,Toronto Raptors
11/23/2022,Chicago Bulls,Milwaukee Bucks
11/23/2022,Denver Nuggets,Oklahoma City Thunder
11/23/2022,New Orleans Pelicans,San Antonio Spurs
11/23/2022,Detroit Pistons,Utah Jazz
11/23/2022,Los Angeles Clippers,Golden State Warriors
11/25/2022,Minnesota Timberwolves,Charlotte Hornets
11/25/2022,Philadelphia 76ers,Orlando Magic
11/25/2022,Portland Trail Blazers,New York Knicks
11/25/2022,Sacramento Kings,Boston Celtics
11/25/2022,Atlanta Hawks,Houston Rockets
11/25/2022,Brooklyn Nets,Indiana Pacers
11/25/2022,New Orleans Pelicans,Memphis Grizzlies
11/25/2022,Washington Wizards,Miami Heat
11/25/2022,Cleveland Cavaliers,Milwaukee Bucks
11/25/2022,Chicago Bulls,Oklahoma City Thunder
11/25/2022,Los Angeles Lakers,San Antonio Spurs
11/25/2022,Detroit Pistons,Phoenix Suns
11/25/2022,Utah Jazz,Golden State Warriors
11/25/2022,Denver Nuggets,Los Angeles Clippers
11/26/2022,Dallas Mavericks,Toronto Raptors
11/26/2022,Oklahoma City Thunder,Houston Rockets
11/26/2022,Los Angeles Lakers,San Antonio Spurs
11/26/2022,Utah Jazz,Phoenix Suns
11/27/2022,Portland Trail Blazers,Brooklyn Nets
11/27/2022,Golden State Warriors,Minnesota Timberwolves
11/27/2022,Indiana Pacers,Los Angeles Clippers
11/27/2022,Miami Heat,Atlanta Hawks
11/27/2022,Washington Wizards,Boston Celtics
11/27/2022,Cleveland Cavaliers,Detroit Pistons
11/27/2022,Memphis Grizzlies,New York Knicks
11/27/2022,Philadelphia 76ers,Orlando Magic
11/27/2022,Dallas Mavericks,Milwaukee Bucks
11/28/2022,Atlanta Hawks,Philadelphia 76ers
11/28/2022,Minnesota Timberwolves,Washington Wizards
11/28/2022,Charlotte Hornets,Boston Celtics
11/28/2022,Orlando Magic,Brooklyn Nets
11/28/2022,Cleveland Cavaliers,Toronto Raptors
11/28/2022,Oklahoma City Thunder,New Orleans Pelicans
11/28/2022,Houston Rockets,Denver Nuggets
11/28/2022,Chicago Bulls,Utah Jazz
11/28/2022,Phoenix Suns,Sacramento Kings
11/28/2022,Indiana Pacers,Los Angeles Lakers
11/29/2022,New York Knicks,Detroit Pistons
11/29/2022,Golden State Warriors,Dallas Mavericks
11/29/2022,Los Angeles Clippers,Portland Trail Blazers
11/30/2022,Philadelphia 76ers,Cleveland Cavaliers
11/30/2022,Atlanta Hawks,Orlando Magic
11/30/2022,Miami Heat,Boston Celtics
11/30/2022,Washington Wizards,Brooklyn Nets
11/30/2022,Milwaukee Bucks,New York Knicks
11/30/2022,Memphis Grizzlies,Minnesota Timberwolves
11/30/2022,Toronto Raptors,New Orleans Pelicans
11/30/2022,San Antonio Spurs,Oklahoma City Thunder
11/30/2022,Houston Rockets,Denver Nuggets
11/30/2022,Chicago Bulls,Phoenix Suns
11/30/2022,Los Angeles Clippers,Utah Jazz
11/30/2022,Indiana Pacers,Sacramento Kings
11/30/2022,Portland Trail Blazers,Los Angeles Lakers
12/1/2022,Dallas Mavericks,Detroit Pistons
12/2/2022,Washington Wizards,Charlotte Hornets
12/2/2022,Denver Nuggets,Atlanta Hawks
12/2/2022,Miami Heat,Boston Celtics
12/2/2022,Toronto Raptors,Brooklyn Nets
12/2/2022,Orlando Magic,Cleveland Cavaliers
12/2/2022,Los Angeles Lakers,Milwaukee Bucks
12/2/2022,Philadelphia 76ers,Memphis Grizzlies
12/2/2022,New Orleans Pelicans,San Antonio Spurs
12/2/2022,Houston Rockets,Phoenix Suns
12/2/2022,Indiana Pacers,Utah Jazz
12/2/2022,Chicago Bulls,Golden State Warriors
12/3/2022,Dallas Mavericks,New York Knicks
12/3/2022,Sacramento Kings,Los Angeles Clippers
12/3/2022,Milwaukee Bucks,Charlotte Hornets
12/3/2022,Oklahoma City Thunder,Minnesota Timberwolves
